GEOID,pop_total,pop_white,pop_black,pop_hispanic_latino,housing_total,housing_owned,housing_rental,med_hh_income,tot_hh_income,tot_pop_measured_poverty,tot_pop_below_poverty,tot_pop >= poverty,med_gross_rent,med_owner_cost%,med_value_owner-occupied_housing_units,pop_poc
36067000100,997,875,26,68,634,70,564,81538,634,997,89,54,564,19.0,246700,94
36067000200,3909,2017,1277,126,1540,597,943,38913,1540,3909,1265,521,943,40.0,128000,1403
36067000300,1495,794,452,101,628,425,203,63583,628,1485,213,133,203,19.5,88500,553
36067000400,3854,2693,467,251,1505,1094,411,65478,1505,3833,211,60,411,25.8,89900,718
36067000501,2907,1053,897,261,1026,103,923,35185,1026,2907,1070,358,923,25.4,80300,1158
36067000600,2966,1216,1050,153,1189,301,888,26708,1189,2966,1128,738,888,31.8,74600,1203
36067000700,1554,499,258,132,616,235,381,40200,616,1554,399,198,381,26.3,63900,390
36067000800,3320,1150,936,212,1050,451,599,32930,1050,3320,1157,626,599,51.0,78800,1148
36067000900,3612,3006,200,146,1445,967,478,81270,1445,3612,377,225,478,28.2,173300,346
36067001000,4127,2621,1016,391,2132,667,1465,36667,2132,4127,1083,551,1465,32.7,94800,1407
36067001400,3080,986,1072,53,943,326,617,23393,943,3080,1445,688,617,45.7,40600,1125
36067001500,2620,1346,510,271,791,257,534,44438,791,2620,699,340,534,25.7,83100,781
36067001600,3519,2058,960,396,1877,146,1731,26234,1877,2720,819,454,1731,32.2,216200,1356
36067001701,2366,1806,396,71,1229,756,473,53935,1229,2359,532,98,473,40.0,77200,467
36067001702,2857,1901,594,447,1092,563,529,64545,1092,2857,693,321,529,27.6,120400,1041
36067001800,2930,2442,167,106,1394,813,581,53654,1394,2799,392,265,581,22.4,96400,273
36067001900,3975,3179,269,95,1992,1234,758,53158,1992,3966,540,163,758,30.8,104700,364
36067002000,2143,1422,366,74,1009,309,700,30966,1009,2122,702,298,700,45.6,73200,440
36067002101,2870,1797,700,206,1258,235,1023,34063,1258,2870,1301,536,1023,32.9,57500,906
36067002300,1440,597,596,77,929,53,876,24125,929,1413,610,293,876,34.0,,673
36067002400,2001,1174,564,333,1036,179,857,44375,1036,1995,801,394,857,23.0,76300,897
36067002700,1642,1195,284,108,848,345,503,53387,848,1642,349,141,503,24.8,89600,392
36067002901,2826,2476,263,178,1304,657,647,66750,1304,2734,333,157,647,19.3,109000,441
36067003000,1766,341,1071,555,738,120,618,18649,738,1766,707,310,618,39.8,74100,1626
36067003200,3304,1887,646,344,1673,53,1620,45434,1673,2343,724,391,1620,27.2,282800,990
36067003400,1246,591,342,141,715,46,669,22917,715,1230,476,257,669,45.7,137500,483
36067003500,2262,1236,735,294,913,182,731,24477,913,2217,859,538,731,26.6,127500,1029
36067003601,2293,531,1368,434,864,378,486,39412,864,2293,915,269,486,41.1,101700,1802
36067003602,2679,795,1482,148,911,517,394,49896,911,2500,463,219,394,27.9,87500,1630
36067003800,2472,871,1165,720,801,294,507,28892,801,2466,1362,639,507,37.6,54000,1885
36067003900,3581,1123,1692,783,1077,198,879,,1077,3560,2008,942,879,51.0,73700,2475
36067004000,1168,449,354,452,486,142,344,18309,486,1168,759,340,344,51.0,71200,806
36067004200,2719,392,1937,542,981,58,923,14396,981,2719,1932,842,923,27.5,64700,2479
36067004301,1615,823,383,115,497,0,497,12831,497,682,448,194,497,30.4,,498
36067004302,7448,5111,600,724,624,0,624,13403,624,1138,771,398,624,51.0,,1324
36067004401,2995,2283,268,215,1212,533,679,68182,1212,2987,832,368,679,36.8,170200,483
36067004500,2300,1663,359,29,803,293,510,48375,803,2247,783,371,510,36.4,135400,388
36067004600,4517,3259,596,355,1900,1566,334,84250,1900,3827,350,263,334,26.7,177500,951
36067004800,1436,1299,100,19,633,589,44,89821,633,1436,53,0,44,23.9,134800,119
36067004900,1691,958,459,219,601,393,208,65536,601,1673,513,332,208,51.0,120700,678
36067005000,2485,1750,376,197,1067,770,297,85869,1067,2485,303,69,297,24.7,141200,573
36067005100,2543,585,1709,797,944,326,618,32250,944,2543,1262,690,618,49.8,69000,2506
36067005200,2055,243,1673,267,734,213,521,37109,734,2055,515,215,521,28.8,62900,1940
36067005300,1959,193,1515,115,628,163,465,21875,628,1812,654,237,465,51.0,55800,1630
36067005400,2572,373,1938,111,842,262,580,29519,842,2513,1177,539,580,45.5,63800,2049
36067005500,3584,1416,1283,345,1798,212,1586,33750,1798,3565,936,425,1586,40.1,97200,1628
36067005601,1792,1324,73,168,718,542,176,86354,718,1765,173,109,176,23.5,163000,241
36067005602,3977,2365,451,414,55,4,51,,55,161,106,16,51,49.3,,865
36067005700,1856,579,1093,114,701,521,180,52131,701,1851,478,180,180,25.7,80500,1207
36067005800,2014,411,1177,269,791,302,489,21669,791,2013,1020,429,489,38.8,59100,1446
36067005900,1835,418,926,83,626,360,266,48893,626,1746,322,170,266,33.3,69000,1009
36067006000,3327,1889,794,279,1561,1021,540,45938,1561,3327,476,160,540,33.2,71300,1073
36067006101,4150,1411,2456,225,1524,802,722,29133,1524,3592,1301,529,722,51.0,73700,2681
36067006102,1935,1124,239,73,1275,54,1221,21260,1275,1935,512,229,1221,31.6,,312
36067006103,2182,1743,275,98,986,910,76,59118,986,2162,193,90,76,51.0,107000,373
36067010100,2657,2434,0,100,1032,949,83,91184,1032,2645,160,62,83,33.0,198600,100
36067010200,6126,5699,10,120,2396,1588,808,70072,2396,6045,881,198,808,28.3,185100,130
36067010301,5386,5075,88,70,2445,1793,652,76405,2445,5350,670,363,652,25.3,158400,158
